,name,tele
0,AOA Bar & Grill,(212) 925-1600
1,The Smith,(212) 644-2700
2,Jane,(212) 254-7000
3,Park Avenue Tavern,(212) 867-4484
4,Jacob’s Pickles,(212) 470-5566
5,South Brooklyn Foundry,(718) 333-5287
6,The Pomeroy,(718) 721-1579
7,Sweet Chick,(646) 657-0233
8,The Supply House,(646) 861-3585
9,Parker & Quinn,(212) 729-0277
10,Times Square Diner,(212) 315-2400
11,Peaches HotHouse,(718) 483-9111
12,The Commodore,(718) 218-7632
13,The Brooklyn Tree,(917) 909-0307
14,The Wheelhouse,(718) 483-9970
15,Skytown,(347) 435-3252
16,Jackson Hole Burgers,(212) 371-7187
17,Elephant & Castle,(212) 243-1400
18,Molly’s,(212) 889-3361
19,While We Were Young,(917) 675-6272
20,The Grey Dog,(212) 229-2345
21,Tavern on Jane,(212) 675-2526
22,Whitman’s,(917) 261-2858
23,Modern Love Brooklyn,(929) 298-0626
24,Landmark Tavern,(212) 247-2562
25,The Grey Dog - Union Square,(212) 966-1060
26,Tom’s,(718) 636-9738
27,Sweet Brooklyn Bar And Grill,(347) 425-0111
28,The Smith,(212) 420-9800
29,RH Rooftop Restaurant New York,(212) 217-2210
30,Queens Comfort,(347) 738-5119
31,AOA Bar & Grill,(212) 925-1600
32,Sweet Chick,(347) 725-4793
33,Mad River Bar & Grille,(212) 988-1832
34,Friedman’s,(212) 971-9400
35,The Cellar,(212) 466-3340
36,The Smith,(212) 496-5700
37,Ruby’s Cafe,(212) 925-5755
38,Hillstone Restaurant,(212) 888-3828
39,Tap Haus 33,(212) 889-9889
40,Melba’s,(212) 864-7777
41,J.G. Melon,(212) 744-0585
42,Westville East,(212) 677-2033
43,The Marshal,(212) 582-6300
44,Mom’s Kitchen & Bar,(718) 267-0142
45,The Wilson,(212) 529-2671
46,The Spotted Dog,(646) 649-5331
47,Something Good in Brooklyn,(917) 909-1006
48,Sunswick,(718) 752-0620
49,Brennan & Carr,(718) 769-1254
50,BLACKBARN,(212) 265-5959
51,Hillstone Restaurant,(212) 689-1090
52,Greenwich Sports Tavern Village,(646) 998-5552
53,Westville Chelsea,(212) 924-2223
54,The Smith,(212) 685-4500
55,Eastfields Kitchen & Bar,(646) 964-4918
56,Harding’s,(212) 600-2105
57,The Meatball Shop,(212) 230-5860
58,Tanner Smiths,(646) 590-2034
59,Friedmans,(646) 876-1232
60,Blind Tiger Ale House,(212) 462-4682
61,Sweetwater Restaurant,(718) 963-0608
62,AOA Bar & Grill,(212) 925-1600
63,Forrest Point,(718) 366-2742
64,Eats,(212) 396-3287
65,12 Chairs,(212) 254-8640
66,Chirping Chicken,(212) 787-6631
67,Shanes Brooklyn,(718) 872-6900
68,The Shady Lady,(718) 440-9081
69,Quality Eats,(212) 256-9922
70,Fred’s Restaurant,(212) 579-3076
71,POST,(646) 930-2724
72,Dee’s,(718) 793-7553
73,Hearth,(646) 602-1300
74,St. Anselm,(718) 384-5054
75,Valerie,(212) 302-4545
76,Sea Wolf,(718) 366-3272
77,718 Bistro,(718) 975-1999
78,The Grill,(212) 375-9001
79,Cookshop,(212) 924-4440
80,The Levee,(718) 218-8787
81,Hibernia Bar,(212) 969-9703
82,Tavern29,(212) 685-4422
83,Donovan’s Pub,(718) 429-9339
84,Benson’s NYC,(646) 791-5765
85,Burger Inc NYC - Brooklyn,(347) 463-9555
86,Sister Jane NYC,(917) 265-8234
87,Westville Hell’s Kitchen,(212) 924-2202
88,Freemans,(212) 420-0012
89,The Flatiron Room,(212) 725-3860
90,Cooper’s Craft & Kitchen,(646) 606-2384
91,Sweet Chick,(718) 484-7724
92,East Village Social,(646) 755-8662
93,Jack Doyle’s Bar & Restaurant,(212) 268-1255
94,Kings Of Kobe,(646) 370-5121
95,Dutch Freds,(646) 918-6923
96,Barking Dog,(212) 831-1800
97,White Oak Tavern,(212) 260-2604
98,Hollow Nickel,(929) 226-1966
99,Dig,(718) 215-6844
100,Offside Tavern,(917) 388-3956
101,Judge Roy Bean Public House,(212) 262-8300
102,LIC Market,(718) 361-0013
103,Harlem Bar-B-Q,(212) 222-1922
104,Dinerbar,(718) 897-6000
105,Rocco Steakhouse,(212) 696-9660
106,Treadwell Park,(212) 832-1551
107,The Gray Mare,(212) 388-0662
108,Leslie’s Kitchen,(347) 406-7857
109,Bonnie’s Grill,(718) 369-9527
110,Jack Doyle’s Bar & Restaurant,(212) 268-1255
111,Dinosaur Bar-B-Que,(347) 429-7030
112,Playa Betty’s,(212) 712-0777
113,Johny’s Luncheonette,(212) 243-6230
114,983-Bushwick’s Living Room,(718) 386-1133
115,The Sweet Sap,(718) 225-1000
116,David Burke Tavern,(212) 988-9021
117,Flip’n Toss,(212) 645-0904
118,Jasper’s Taphouse + Kitchen,(212) 957-1000
119,Good Enough to Eat,(212) 496-0163
120,The Rochard,(212) 722-8959
121,Walter’s,(718) 488-7800
122,The District,(212) 289-2005
123,Bubby’s High Line,(212) 219-0666
124,AOA Bar & Grill,(212) 925-1600
125,Cheese Grille,(212) 460-9383
126,Lilly’s Craft and Kitchen,(212) 757-0373
127,Otis,(646) 886-0601
128,Bareburger,(212) 673-2273
129,The Polo Bar,(212) 207-8562
130,191 Knickerbocker,(929) 305-3625
131,Black Tap - 35th,(646) 943-5135
132,The Wild Son,(212) 727-7900
133,Parlay,(212) 727-7900
134,Esme,(718) 383-0999
135,Emily,(347) 844-9588
136,Sugarburg,(917) 618-3029
137,Kent Ale House,(347) 227-8624
138,Meadowsweet,(718) 384-0691
139,Robert,(212) 299-7730
140,Jack’s Fire Dept,(718) 784-9090
141,Brooklyn Label,(347) 689-4072
142,Starr Bar,(718) 821-1100
143,Blue Dog Cookhouse & Bar,(212) 459-0700
144,Jack’s Wife Freda,(212) 510-8550
145,The Meatball Shop,(212) 257-6121
146,Smithfield Hall,(212) 929-9677
147,Cafe Colette,(347) 599-1381
148,Waverly Diner,(212) 675-3181
149,Bronx Drafthouse,(929) 265-9759
150,The Family Store,(718) 748-0207
